taxonomy_id	name	rank	lineage	barcode35_barcode35_diamond.diamond	barcode33_barcode33_diamond.diamond	barcode36_barcode36_diamond.diamond	barcode34_barcode34_diamond.diamond	barcode37_barcode37_diamond.diamond	barcode38_barcode38_diamond.diamond
349221	Micavibrio aeruginosavorus	species	cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Micavibrio;Micavibrio aeruginosavorus	2	0	0	0	0	0
3077918	Wolbachia endosymbiont (group B) of Agriphila inquinatella	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont (group B) of Agriphila inquinatella	2	2	2	0	0	0
1868215	Orthopneumovirus	genus	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Pneumoviridae;Orthopneumovirus	18	20	33	28	355989	26773
1385	Bacillales	order	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales	5	2	3	3	80314	10
1	root	no rank		22	178	64	466	50199	4283
3416391	Sphingomonas sp. CJ99	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unclassified Sphingomonas;Sphingomonas sp. CJ99	1	0	0	1	0	1
90964	Staphylococcaceae	family	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae	4	6	5	11	93411	8
80864	Comamonadaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	1	2	0	1	0	20
69277	Phyllobacteriaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae	2	7	1	7	168	8
1300323	Scheffersomyces segobiensis virus L	no rank	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Alphatotivirineae;Orthototiviridae;Totivirus;Totivirus roku;Scheffersomyces segobiensis virus L	2	0	18	0	5	0
2884875	Haladaptatus halobius	species	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Haladaptatus;Haladaptatus halobius	1	0	0	0	0	0
2560195	Orthorubulavirus	genus	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus	2	82176	10	3	5	3
555317	Phyllobacterium meliloti	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;Phyllobacterium meliloti	3	15	12	7	43	17
550	Enterobacter cloacae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter cloacae	9	221	1145	39	27	298055
3400908	Parablastomonas sp. CN1-191	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parablastomonas;unclassified Parablastomonas;Parablastomonas sp. CN1-191	2	6	4	7	1	1
33882	Microbacterium	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium	1	1	2	2	0	19
564305	Kwoniella shivajii	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella shivajii	1	1	1	3	0	2
497	Psychrobacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter	2	0	0	0	0	2371
196159	unclassified Sphingomonas	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unclassified Sphingomonas	1	0	0	0	0	0
204457	Sphingomonadales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	2	7	4	12	2	2
41297	Sphingomonadaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	5	2	1	7	0	1
11646	Lentivirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	7	136	76	529	4391	191
1414719	Corynebacterium jeddahense	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeddahense	1	0	0	0	4058	0
670	Vibrio parahaemolyticus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;Vibrio parahaemolyticus	2	33	58	1097	309	22781
44689	Dictyostelium discoideum	species	cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum	2	2	3	4	0	0
82115	Rhizobiaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	1	1	0	2	1	1
2617991	unclassified Magnetospirillum	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;unclassified Magnetospirillum	1	0	0	0	0	0
161879	Corynebacterium kroppenstedtii	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium kroppenstedtii	1	0	0	0	0	0
208215	Parvularcula	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Parvularculales;Parvularculaceae;Parvularcula	1	0	0	0	0	0
563835	Chitinophagaceae	family	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae	1	0	1	1	306	1
284811	Eremothecium gossypii ATCC 10895	strain	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium;Eremothecium gossypii;Eremothecium gossypii ATCC 10895	1	2	1	6	0	2
573658	Candidatus Hodgkinia cicadicola	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales incertae sedis;Candidatus Hodgkinia;Candidatus Hodgkinia cicadicola	2	0	3	6	0	0
2593676	unclassified Streptomyces	no rank	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	3	1	3	7	3	1
1881061	Stappia sp. ES.058	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia;unclassified Stappia;Stappia sp. ES.058	1	0	0	0	0	0
399	Neorhizobium galegae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Neorhizobium;Neorhizobium galegae	1	0	0	0	0	0
11158	Paramyxoviridae	family	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae	2	18448	0	0	1	4
1716	Corynebacterium	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	3	4	5	112	9308	51
188144	Enterovibrio norvegicus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Enterovibrio;Enterovibrio norvegicus	3	0	3	1	1	0
1282	Staphylococcus epidermidis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	4	7	14	13	159674	16
94643	Besnoitia besnoiti	species	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Besnoitia;Besnoitia besnoiti	5	21	12	83	63	105
4893	Saccharomycetaceae	family	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	1	0	1	1	0	0
11244	Pneumoviridae	family	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Pneumoviridae	3	1	6	2	21444	841
147550	Sordariomycetes	class	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes	1	3	1	0	0	45
2953748	Halorussus aquaticus	species	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Halorussus;Halorussus aquaticus	1	0	0	0	0	0
553611	Photobacterium leiognathi	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium leiognathi	7	2	8	5	4	9
198214	Shigella flexneri 2a str. 301	strain	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri 2a;Shigella flexneri 2a str. 301	1	1	4	23	7	28
1239	Bacillota	phylum	cellular organisms;Bacteria;Bacillati;Bacillota	2	18	10	141	70018	1014
3080828	Methylocapsa polymorpha	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocapsa;Methylocapsa polymorpha	1	0	0	0	1	0
199306	Coccidioides posadasii	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Onygenales;Onygenaceae;Coccidioides;Coccidioides posadasii	1	0	0	0	0	0
451864	Dikarya	subkingdom	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya	2	2	4	3	1	2
32615	Puma lentivirus 14	no rank	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Lentivirus pum;Puma lentivirus;Puma lentivirus 14	2	12	7	47	331	15
4896	Schizosaccharomyces pombe	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;Schizosaccharomyces pombe	1	0	0	1	0	1
1929291	Reyranella sp.	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella;unclassified Reyranella;Reyranella sp.	2	2	0	0	0	0
470	Acinetobacter baumannii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	1	4	6	1284	1	7135
485	Neisseria gonorrhoeae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	1	0	0	6	107	0
1069201	Aspergillus luchuensis	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus luchuensis	1	0	0	0	0	1
91061	Bacilli	class	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli	3	12	3	115	55099	291
546367	Hafnia paralvei	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;Hafnia paralvei	1	0	2	2	1	0
3077948	Candidatus Mesenet endosymbiont of Agriotes lineatus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus Mesenet;unclassified Candidatus Mesenet;Candidatus Mesenet endosymbiont of Agriotes lineatus	1	0	0	0	0	0
61645	Enterobacter asburiae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter asburiae	2	0	0	2	51	0
2705399	Hypericibacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Dongiaceae;Hypericibacter	1	0	0	3	0	0
166486	Roseburia intestinalis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia intestinalis	1	8	2	150	312	4542
2509457	Xylanimonas protaetiae	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Xylanimonas;Xylanimonas protaetiae	1	0	1	0	0	0
2169971	Visna-maedi virus	no rank	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Lentivirus ovivismae;Visna-maedi virus	1	0	1	1	8	0
1301	Streptococcus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1	173	0	920	0	7926
82367	Paracoccus pantotrophus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus pantotrophus	1	0	0	26	1	0
68287	Mesorhizobium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	1	0	0	1	23	1
28901	Salmonella enterica	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica	1	2	25	425	104	4135
3066369	Coralliovum pocilloporae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Coralliovaceae;Coralliovum;Coralliovum pocilloporae	1	0	0	0	0	0
40989	Saccharomonospora cyanea	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;Saccharomonospora cyanea	1	0	0	0	0	0
1847725	Lawsonella	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	1	0	0	2	1	3
204441	Rhodospirillales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	1	3	1	2	1	0
386585	Escherichia coli O157:H7 str. Sakai	strain	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157:H7;Escherichia coli O157:H7 str. Sakai	1	0	0	3	2	3
85007	Mycobacteriales	order	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales	1	2	5	1	348	17
2842664	Emesvirus	genus	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Emesvirus	1	8	7	20	25	9
2638441	unclassified Phyllobacterium	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;unclassified Phyllobacterium	1	0	0	0	1	0
573	Klebsiella pneumoniae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae	1	15	2	107	223	8
1528099	Lawsonella clevelandensis	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;Lawsonella clevelandensis	1	1	31	6	119	41
5866	Babesia bigemina	species	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bigemina	1	0	0	3	1	1
1822464	Paraburkholderia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	3	1	4	24	65	9
869886	Halosimplex pelagicum	species	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex pelagicum	1	0	0	0	0	0
85025	Nocardiaceae	family	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae	1	1	4	3	2	14
283734	Staphylococcus pseudintermedius	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus intermedius group;Staphylococcus pseudintermedius	1	0	0	1	1206	1
2718938	Phyllobacterium sp. 628	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;unclassified Phyllobacterium;Phyllobacterium sp. 628	3	3	4	2	19	3
1543704	Niveispirillum	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Niveispirillum	1	0	0	0	0	0
2768161	Roseomonas marmotae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas marmotae	2	0	2	1	0	0
327045	Orthoretrovirinae	subfamily	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae	1	1	4	14	262	3
1912216	Cutibacterium	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	1	1	11	2	3790	21
3080057	Allobosea sp. 685	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Alloboseaceae;Allobosea;unclassified Allobosea;Allobosea sp. 685	1	0	0	0	0	0
5144	Podospora	genus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariales;Podosporaceae;Podospora	1	0	0	0	0	0
334542	Rhodococcus qingshengii	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis group;Rhodococcus qingshengii	1	2	0	2	2	18
2867010	Aliiroseovarius sp. M344	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Aliiroseovarius;unclassified Aliiroseovarius;Aliiroseovarius sp. M344	1	0	0	0	0	0
