taxonomy_id	name	rank	lineage	InfA-30_diamond.diamond	PI2-20_diamond.diamond	InfA-33_diamond.diamond	InfB-22_diamond.diamond	RSA-24_diamond.diamond	RSV-25_diamond.diamond
2632610	unclassified Brucella	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella/Ochrobactrum group;Brucella;unclassified Brucella	1	1	0	0	0	0
562	Escherichia coli	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	69	2877	11043	67777	1634	3145849
451864	Dikarya	subkingdom	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya	84	102	186	588	68	18
5866	Babesia bigemina	species	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bigemina	75	104	166	994	868	60
564305	Kwoniella shivajii	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella shivajii	2	9	7	7	1	0
296543	Thalassiosira pseudonana CCMP1335	strain	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana;Thalassiosira pseudonana CCMP1335	20	41	26	213	19	9
11646	Lentivirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	23	689	273	1717	12462	253
2224	Methanothrix thermoacetophila	species	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanotrichales;Methanotrichaceae;Methanothrix;Methanothrix thermoacetophila	4	4	6	6	1	0
94643	Besnoitia besnoiti	species	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Besnoitia;Besnoitia besnoiti	33	172	82	384	190	641
3400908	Parablastomonas sp. CN1-191	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parablastomonas;unclassified Parablastomonas;Parablastomonas sp. CN1-191	31	49	31	63	17	1
181124	Marasmius oreades	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Marasmiineae;Marasmiaceae;Marasmius;Marasmius oreades	3	0	0	6	3	0
125216	Roseomonas	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas	4	3	6	14	1	0
5267	Ustilaginales	order	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales	4	2	1	105	1	0
3092147	Tateyamaria sp. SN3-11	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Tateyamaria;unclassified Tateyamaria;Tateyamaria sp. SN3-11	5	5	12	4	2	0
670386	Heterostelium album PN500	strain	cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Heterostelium;Heterostelium album;Heterostelium album PN500	5	3	16	14	0	0
5863	Piroplasmida	order	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida	54	166	109	623	102	108
1234143	Endozoicomonas euniceicola	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;Endozoicomonas;Endozoicomonas euniceicola	8	20	4	31	1	4
5059	Aspergillus flavus	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus flavus	21	24	38	491	1	0
1783272	Bacillati	kingdom	cellular organisms;Bacteria;Bacillati	55	140	103	302	249270	744
3569183	Tessaracoccus sp. G1721	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Tessaracoccus;unclassified Tessaracoccus;Tessaracoccus sp. G1721	2	0	0	1	0	0
91347	Enterobacterales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales	23	499	425	2375	3476	1858
114277	spotted fever group	species group	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Rickettsia;spotted fever group	4	6	5	13	1	0
168172	Puccinia striiformis f. sp. tritici	forma specialis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia;Puccinia striiformis;Puccinia striiformis f. sp. tritici	21	47	87	561	17	8
68287	Mesorhizobium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	3	2	7	3	137	6
158836	Enterobacter hormaechei	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter hormaechei	210	397	367	690	748	87
356	Hyphomicrobiales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	92	263	187	230	2604	123
28100	Phyllobacterium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium	91	361	342	548	11975	308
573	Klebsiella pneumoniae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae	38	113	91	749	899	39
4893	Saccharomycetaceae	family	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	17	22	32	71	8	1
555317	Phyllobacterium meliloti	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;Phyllobacterium meliloti	9	155	29	59	195	77
2698737	Sar	clade	cellular organisms;Eukaryota;Sar	61	185	126	748	106	91
76892	Caulobacteraceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	1	1	2	3	17	0
2745	Halomonas	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	1	0	0	1	0	0
1537102	Theileria equi strain WA	strain	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria equi;Theileria equi strain WA	5	27	24	117	21	19
1033854	Thioalkalivibrio sulfidiphilus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;Thioalkalivibrio sulfidiphilus	14	19	8	29	3	1
153135	Gammaretrovirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus	8	3	36	156	0	21
2916816	Wolbachia endosymbiont of Howardula sp.	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Howardula sp.	12	23	28	71	7	0
218111	Wolbachia endosymbiont of Corcyra cephalonica	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Corcyra cephalonica	25	38	28	48	7	7
4751	Fungi	kingdom	cellular organisms;Eukaryota;Opisthokonta;Fungi	7	6	12	79	0	0
1437360	Bradyrhizobium erythrophlei	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium erythrophlei	2	0	0	0	0	0
348837	Spironucleus salmonicida	species	cellular organisms;Eukaryota;Metamonada;Fornicata;Diplomonadida;Hexamitidae;Hexamitinae;Spironucleus;Spironucleus salmonicida	24	60	52	318	11	0
2029849	Marinicauda algicola	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Marinicauda;Marinicauda algicola	5	10	3	7	1	0
2851642	Microbacterium aurugineum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium aurugineum	16	41	30	37	6	2
5296	Puccinia	genus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia	9	5	20	213	4	3
2623546	unclassified Deinococcus	no rank	cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;unclassified Deinococcus	1	0	0	0	0	0
119060	Burkholderiaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	7	2339	6366	1825	641	129
1758194	Achromobacter sp. AONIH1	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;unclassified Achromobacter;Achromobacter sp. AONIH1	10	3	9	0	0	8
57706	Citrobacter braakii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter braakii	2	15	7	30	4	7
485	Neisseria gonorrhoeae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	11	7	1	118	743	4
171549	Bacteroidales	order	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales	4	1	1	0	0	0
5204	Basidiomycota	phylum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota	15	14	12	108	66	1
2718938	Phyllobacterium sp. 628	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;unclassified Phyllobacterium;Phyllobacterium sp. 628	7	18	53	21	194	14
28105	Sinorhizobium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;Sinorhizobium	1	1	1	0	0	0
621	Shigella boydii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	1	0	6	0	18	0
2897332	Roseomonas cutis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas cutis	5	12	6	14	4	0
2617606	unclassified Castellaniella	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Castellaniella;unclassified Castellaniella	2	0	0	2	0	1
2769490	Thalassotalea sp. LPB0316	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassotalea;unclassified Thalassotalea;Thalassotalea sp. LPB0316	1	0	0	0	0	0
1227	Nitrosococcus	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus	6	5	8	8	1	1
34061	Moraxella cuniculi	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella cuniculi	1	0	0	10	0	57
145971	Colletotrichum lupini	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum acutatum species complex;Colletotrichum lupini	5	17	23	167	1	1
2811788	Burkholderia sp. MS455	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;unclassified Burkholderia;Burkholderia sp. MS455	3	0	0	5	0	0
559295	Lachancea thermotolerans CBS 6340	strain	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;Lachancea thermotolerans;Lachancea thermotolerans CBS 6340	4	0	0	3	0	0
2048283	Thalassospira marina	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira marina	16	36	13	30	3	1
4952	Yarrowia lipolytica	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Dipodascomycetes;Dipodascales;Dipodascales incertae sedis;Yarrowia;Yarrowia lipolytica	14	43	27	140	19	30
484906	Babesia bovis T2Bo	no rank	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bovis;Babesia bovis T2Bo	4	3	5	2	0	0
456999	Rhizoctonia solani	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Cantharellales;Ceratobasidiaceae;Rhizoctonia;Rhizoctonia solani	4	6	9	12	0	0
1300323	Scheffersomyces segobiensis virus L	no rank	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Alphatotivirineae;Orthototiviridae;Totivirus;Totivirus roku;Scheffersomyces segobiensis virus L	3	0	26	0	20	0
374	Bradyrhizobium	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	2	6	54	6	52	4
1346319	Candidatus Trichorickettsia mobilis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Candidatus Trichorickettsia;Candidatus Trichorickettsia mobilis	9	5	11	12	2	1
818	Bacteroides thetaiotaomicron	species	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	2	1	0	1	0	4
3066217	Cardinium endosymbiont of Nabis limbatus	species	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Amoebophilaceae;Candidatus Cardinium;unclassified Candidatus Cardinium;Cardinium endosymbiont of Nabis limbatus	18	34	36	347	42	6
570267	Methanocella paludicola	species	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella paludicola	2	0	0	0	0	0
61645	Enterobacter asburiae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter asburiae	16	20	0	141	222	1
2627773	unclassified Conexibacter	no rank	cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;unclassified Conexibacter	3	7	2	4	0	0
4890	Ascomycota	phylum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota	1	1	1	4	0	1
1649453	Gimesia	genus	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia	1	0	0	0	0	0
3379134	Pseudomonadati	kingdom	cellular organisms;Bacteria;Pseudomonadati	36	81	178	426	401	87739
75	Caulobacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	1	1	1	3	4	0
198251	Candidatus Pelagibacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Candidatus Pelagibacterales;Candidatus Pelagibacteraceae;Candidatus Pelagibacter	2	1	0	3	0	0
36914	Lodderomyces elongisporus	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Candida/Lodderomyces clade;Lodderomyces;Lodderomyces elongisporus	1	8	0	18	0	0
716545	saccharomyceta	clade	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta	7	14	18	100	20	5
2528025	Stieleria bergensis	species	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Stieleria;Stieleria bergensis	1	0	0	0	0	0
408	Methylorubrum extorquens	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	1	0	1	2	0	0
1716	Corynebacterium	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	10	7	15	725	43155	16
4896	Schizosaccharomyces pombe	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;Schizosaccharomyces pombe	2	6	6	21	2	1
2593676	unclassified Streptomyces	no rank	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	2	0	0	1	2	0
1750527	Roseomonas fluvialis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas fluvialis	3	9	2	10	2	0
227873	Pannonibacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Pannonibacter	7	8	6	118	3	0
5654	Trypanosomatidae	family	cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae	1	9	0	1	0	2
2575872	Bauldia sp.	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Bauldia;unclassified Bauldia;Bauldia sp.	3	1	1	0	0	0
160791	Rhizorhabdus wittichii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Rhizorhabdaceae;Rhizorhabdus;Rhizorhabdus wittichii	1	1	0	0	0	0
3708	Brassica napus	species	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Brassiceae;Brassica;Brassica napus	13	63	30	118	6	5
1701758	Aureimonas populi	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas;Aureimonas populi	3	1	0	6	0	0
147537	Saccharomycotina	subphylum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina	4	15	9	42	13	6
2768161	Roseomonas marmotae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas marmotae	4	1	3	3	0	0
412133	Trichomonas vaginalis G3	isolate	cellular organisms;Eukaryota;Metamonada;Parabasalia;Trichomonadida;Trichomonadidae;Trichomonas;Trichomonas vaginalis;Trichomonas vaginalis G3	6	6	82	139	0	0
5139	Sordariales	order	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariales	4	10	18	16	1	0
44689	Dictyostelium discoideum	species	cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum	1	2	3	8	0	0
3055080	Stenotrophomonas pigmentata	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;Stenotrophomonas pigmentata	1	0	0	0	0	0
2005462	Calothrix sp. NIES-3974	species	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix;Calothrix sp. NIES-3974	1	0	0	0	0	0
