#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_009729015.1	PRJNA224116	SAMN09933089	na	reference genome	2283	2283	Acidianus ambivalens	strain=LEI 10	na	latest	Complete Genome	Major	Full	2019-12-04	ASM972901v1	North Carolina State University	GCA_009729015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/015/GCF_009729015.1_ASM972901v1	na	assembly from type material	na	haploid	archaea	2252027	2252027	34	1	1	1	NCBI RefSeq	GCF_009729015.1-RS_2025_03_28	2025-03-28	2654	2524	52	na
GCF_019175325.1	PRJNA224116	SAMN18407733	na	na	2286	2286	Saccharolobus shibatae	strain=BEU9	na	latest	Complete Genome	Major	Full	2021-07-08	ASM1917532v1	Skolkovo Institute of Science and Technology	GCA_019175325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/175/325/GCF_019175325.1_ASM1917532v1	na	na	na	haploid	archaea	2778607	2778607	35.5	2	2	2	NCBI RefSeq	GCF_019175325.1-RS_2025_11_24	2025-11-24	3098	2834	51	34190379
GCF_003852115.1	PRJNA224116	SAMN06006254	na	na	2287	2287	Saccharolobus solfataricus	strain=SUL120	na	latest	Complete Genome	Major	Full	2018-11-29	ASM385211v1	University of Nebraska-Lincoln	GCA_003852115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/852/115/GCF_003852115.1_ASM385211v1	na	na	na	haploid	archaea	2707507	2707507	36	1	1	1	NCBI RefSeq	GCF_003852115.1-RS_2025_04_01	2025-04-01	2957	2625	51	30425171
GCF_000275865.1	PRJNA224116	SAMN02256542	AGCO00000000.1	reference genome	28892	2201	Methanofollis liminatans DSM 4140	strain=DSM 4140	na	latest	Chromosome	Major	Full	2012-07-13	ASM27586v1	DOE Joint Genome Institute	GCA_000275865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/865/GCF_000275865.1_ASM27586v1	na	assembly from type material	na	haploid	archaea	2475100	2474500	61	1	1	7	NCBI RefSeq	GCF_000275865.1-RS_2025_11_21	2025-11-21	2496	2430	58	na
GCF_002355655.1	PRJNA224116	SAMD00053811	na	na	29284	29284	Halorubrum trapanicum	strain=CBA1232	na	latest	Complete Genome	Major	Full	2016-07-01	ASM235565v1	Korea Basic Science Institute	GCA_002355655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/655/GCF_002355655.1_ASM235565v1	na	na	na	haploid	archaea	3080199	3080199	68.5	3	3	3	NCBI RefSeq	GCF_002355655.1-RS_2026_02_19	2026-02-19	3067	2979	56	na
GCF_024662215.1	PRJNA224116	SAMN25349865	na	reference genome	33865	33865	Methanoplanus endosymbiosus	strain=DSM 3599	na	latest	Complete Genome	Major	Full	2022-08-15	ASM2466221v1	National Chung Hsing University	GCA_024662215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/662/215/GCF_024662215.1_ASM2466221v1	na	assembly from type material	na	haploid	archaea	3163021	3163021	42.5	1	1	1	NCBI RefSeq	GCF_024662215.1-RS_2025_08_31	2025-08-31	2943	2848	77	na
GCF_055379715.1	PRJNA224116	SAMD00887299	na	na	35616	35616	Pyrodictium brockii	strain=JCM 9392	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5537971v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055379715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/379/715/GCF_055379715.1_ASM5537971v1	na	assembly from type material	na	haploid	archaea	1639937	1639937	63.5	1	1	1	NCBI RefSeq	GCF_055379715.1-RS_2026_02_24	2026-02-24	1761	1697	52	na
GCF_049603145.1	PRJNA224116	SAMN47738842	na	na	35745	35745	Haloferax denitrificans	strain=MBLA0123	na	latest	Chromosome	Major	Full	2025-04-20	MBLA0123	Incheon National University	GCA_049603145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/603/145/GCF_049603145.1_MBLA0123	na	na	na	haploid	archaea	3702458	3702358	66.5	3	3	3	NCBI RefSeq	GCF_049603145.1-RS_2025_04_17	2025-04-17	3761	3654	63	na
GCF_014969745.1	PRJNA224116	SAMN15808703	na	na	35746	35746	Haloferax gibbonsii	strain=LR2-5	na	latest	Complete Genome	Major	Full	2020-10-27	ASM1496974v1	Max-Planck-Institute of Biochemistry	GCA_014969745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/969/745/GCF_014969745.1_ASM1496974v1	na	na	na	haploid	archaea	3996244	3996244	66	4	4	4	NCBI RefSeq	GCF_014969745.1-RS_2025_05_05	2025-05-05	4014	3913	65	33664716
GCF_052043865.1	PRJNA224116	SAMN50468620	JBQEMN000000000.1	reference genome	36738	36738	Halococcus salifodinae	strain=DSM 8989	na	latest	Complete Genome	Major	Full	2025-08-15	ASM5204386v1	Binomica Labs	GCA_052043865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/043/865/GCF_052043865.1_ASM5204386v1	na	assembly from type material	na	haploid	archaea	4246728	4246728	63.5	5	5	5	NCBI RefSeq	GCF_052043865.1-RS_2025_08_15	2025-08-15	4233	4037	58	na
GCF_002945325.1	PRJNA224116	SAMN08466362	na	reference genome	39152	39152	Methanococcus maripaludis	strain=DSM 2067	na	latest	Complete Genome	Major	Full	2018-02-12	ASM294532v1	Goettingen Genomics Laboratory	GCA_002945325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/945/325/GCF_002945325.1_ASM294532v1	na	assembly from type material	na	haploid	archaea	1714918	1714918	33	1	1	1	NCBI RefSeq	GCF_002945325.1-RS_2025_12_05	2025-12-05	1874	1815	50	na
GCF_019669925.1	PRJNA224116	SAMD00171894	na	na	39441	39441	Methanobrevibacter arboriphilus	strain=SA	na	latest	Complete Genome	Major	Full	2021-06-02	ASM1966992v1	Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University	GCA_019669925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/925/GCF_019669925.1_ASM1966992v1	na	na	na	haploid	archaea	2393271	2393271	25.5	1	1	1	NCBI RefSeq	GCF_019669925.1-RS_2025_06_10	2025-06-10	2069	2013	44	na
GCF_002761295.1	PRJNA224116	SAMN05908879	na	reference genome	39664	39664	Methanohalophilus portucalensis	strain=FDF-1T	na	latest	Chromosome	Major	Full	2017-11-07	ASM276129v1	Macumba	GCA_002761295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/295/GCF_002761295.1_ASM276129v1	na	assembly from type material	na	haploid	archaea	2084975	2084275	42	1	1	7	NCBI RefSeq	GCF_002761295.1-RS_2025_11_21	2025-11-21	2170	2089	58	na
GCF_003201835.2	PRJNA224116	SAMN09071529	na	reference genome	41673	41673	Acidianus brierleyi	strain=DSM 1651	na	latest	Complete Genome	Major	Full	2020-03-10	ASM320183v2	North Carolina State University	GCA_003201835.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.2_ASM320183v2	na	assembly from type material	na	haploid	archaea	2947244	2947244	32	1	1	1	NCBI RefSeq	GCF_003201835.2-RS_2025_06_10	2025-06-10	3188	3001	51	na
GCF_009729035.1	PRJNA224116	SAMN09933091	na	reference genome	41675	41675	Stygiolobus azoricus	strain=FC6	na	latest	Complete Genome	Major	Full	2019-12-04	ASM972903v1	North Carolina State University	GCA_009729035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/035/GCF_009729035.1_ASM972903v1	na	assembly from type material	na	haploid	archaea	1987069	1987069	37.5	1	1	1	NCBI RefSeq	GCF_009729035.1-RS_2025_03_28	2025-03-28	2204	2118	51	na
GCF_025449255.1	PRJNA224116	SAMN30825808	na	na	42879	42879	Methanococcus aeolicus	strain=PL15/HP	na	latest	Complete Genome	Major	Full	2022-09-28	ASM2544925v1	NEB	GCA_025449255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/449/255/GCF_025449255.1_ASM2544925v1	na	na	na	haploid	archaea	1677738	1677738	30	1	1	1	NCBI RefSeq	GCF_025449255.1-RS_2025_11_24	2025-11-24	1658	1589	49	na
GCF_001266655.1	PRJNA224116	SAMN03857118	na	na	43687	43687	Metallosphaera sedula	strain=ARS50-1	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126665v1	University of Nebraska-Lincoln	GCA_001266655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/655/GCF_001266655.1_ASM126665v1	na	na	na	haploid	archaea	2191533	2191533	46	1	1	1	NCBI RefSeq	GCF_001266655.1-RS_2025_05_03	2025-05-03	2414	2339	51	26430052
GCF_055384635.1	PRJNA224116	SAMD01611131	na	na	43776	43776	Haloarcula argentinensis	strain=JCM 15760	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5538463v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055384635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/384/635/GCF_055384635.1_ASM5538463v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	4040500	4040500	61.5	6	6	6	NCBI RefSeq	GCF_055384635.1-RS_2026_02_24	2026-02-24	4139	4010	79	na
GCF_055386755.1	PRJNA224116	SAMD00887334	na	reference genome	46540	46540	Thermococcus fumicolans	strain=JCM 10128	na	latest	Complete Genome	Major	Full	2026-02-26	ASM5538675v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055386755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/386/755/GCF_055386755.1_ASM5538675v1	na	assembly from type material	na	haploid	archaea	1961496	1961496	55.5	1	1	1	NCBI RefSeq	GCF_055386755.1-RS_2026_02_24	2026-02-24	2215	2153	52	na
GCF_002214585.1	PRJNA224116	SAMN03324163	na	reference genome	49899	49899	Thermococcus profundus	strain=DT 5432	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221458v1	Ecole Normale Superieure de Lyon	GCA_002214585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/585/GCF_002214585.1_ASM221458v1	na	assembly from type material	na	haploid	archaea	2043143	2043143	53	2	2	2	NCBI RefSeq	GCF_002214585.1-RS_2025_11_20	2025-11-20	2181	2125	52	na
GCF_055398255.1	PRJNA224116	SAMD00887309	na	reference genome	53426	53426	Sulfophobococcus zilligii	strain=JCM 10309	na	latest	Complete Genome	Major	Full	2026-02-26	ASM5539825v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055398255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/398/255/GCF_055398255.1_ASM5539825v1	na	assembly from type material	na	haploid	archaea	1402993	1402993	39	1	1	1	NCBI RefSeq	GCF_055398255.1-RS_2026_02_24	2026-02-24	1564	1488	51	na
GCF_001592435.1	PRJNA224116	SAMN03324162	na	reference genome	53952	53952	Thermococcus peptonophilus	strain=OG-1	na	latest	Complete Genome	Major	Full	2016-03-15	ASM159243v1	Ecole Normale Superieure de Lyon	GCA_001592435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/435/GCF_001592435.1_ASM159243v1	na	assembly from type material	na	haploid	archaea	1896106	1896106	51.5	2	2	2	NCBI RefSeq	GCF_001592435.1-RS_2025_11_21	2025-11-21	2106	2029	52	na
GCF_002214465.1	PRJNA224116	SAMN03324153	na	reference genome	54077	54077	Thermococcus barossii	strain=SHCK-94	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221446v1	Ecole Normale Superieure de Lyon	GCA_002214465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/465/GCF_002214465.1_ASM221446v1	na	assembly from type material	na	haploid	archaea	1922421	1922421	54.5	1	1	1	NCBI RefSeq	GCF_002214465.1-RS_2025_11_21	2025-11-21	2092	2032	52	na
GCF_055382595.1	PRJNA224116	SAMD00887351	na	reference genome	54250	54250	Thermodiscus maritimus	strain=JCM 11597	na	latest	Complete Genome	Major	Full	2026-02-26	ASM5538259v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055382595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/382/595/GCF_055382595.1_ASM5538259v1	na	assembly from type material	na	haploid	archaea	1473551	1473551	53	1	1	1	NCBI RefSeq	GCF_055382595.1-RS_2026_02_24	2026-02-24	1635	1555	51	na
GCF_036323395.1	PRJNA224116	SAMD00639620	na	reference genome	54256	54256	Pyrodictium abyssi	strain=AV2	na	latest	Complete Genome	Major	Full	2023-09-14	ASM3632339v1	Kyoto University	GCA_036323395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/323/395/GCF_036323395.1_ASM3632339v1	na	assembly from type material	na	haploid	archaea	2224219	2224219	59	1	1	1	NCBI RefSeq	GCF_036323395.1-RS_2025_04_02	2025-04-02	2452	2388	51	na
GCF_900012635.1	PRJNA224116	SAMEA3721282	na	na	54262	54262	Thermococcus chitonophagus	na	1	latest	Complete Genome	Major	Full	2016-04-15	Pyrococcus chitonophagus genome sequence	University of Athens	GCA_900012635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/012/635/GCF_900012635.1_Pyrococcus_chitonophagus_genome_sequence	na	na	na	haploid	archaea	1969648	1969648	45	1	1	1	NCBI RefSeq	GCF_900012635.1-RS_2025_12_02	2025-12-02	2232	2153	54	na
GCF_002813695.1	PRJNA224116	SAMN05928842	na	reference genome	59277	59277	Methanobacterium subterraneum	strain=A8p	na	latest	Complete Genome	Major	Full	2017-12-07	ASM281369v1	Japan Agency for Marine-Earth Science and technology	GCA_002813695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/695/GCF_002813695.1_ASM281369v1	na	assembly from type material	na	haploid	archaea	2515817	2515817	39.5	1	1	1	NCBI RefSeq	GCF_002813695.1-RS_2025_11_30	2025-11-30	2485	2412	52	na
GCF_010692885.1	PRJNA224116	SAMN14053718	na	na	60847	60847	Halogeometricum borinquense	strain=wsp4	na	latest	Complete Genome	Major	Full	2020-02-18	ASM1069288v1	CSIR-Institue of Microbial Technology	GCA_010692885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/692/885/GCF_010692885.1_ASM1069288v1	na	na	na	haploid	archaea	3994321	3994321	59.5	1	1	1	NCBI RefSeq	GCF_010692885.1-RS_2025_05_05	2025-05-05	4063	3930	57	na
GCF_004799645.1	PRJNA224116	SAMN09711300	na	reference genome	61858	61858	Natronorubrum bangense	strain=JCM 10635	na	latest	Complete Genome	Major	Full	2019-04-18	ASM479964v1	Wuhan University	GCA_004799645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/645/GCF_004799645.1_ASM479964v1	na	assembly from type material	na	haploid	archaea	4382412	4382412	60.5	5	5	5	NCBI RefSeq	GCF_004799645.1-RS_2025_11_21	2025-11-21	4365	4198	83	30975999
GCF_052598275.1	PRJNA224116	SAMN51184169	JBQWSP000000000.1	reference genome	62319	62319	Halococcus saccharolyticus	strain=P423	na	latest	Complete Genome	Major	Full	2025-09-13	ASM5259827v1	Binomica Labs	GCA_052598275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/598/275/GCF_052598275.1_ASM5259827v1	na	na	na	haploid	archaea	3453208	3453208	64	2	2	2	NCBI RefSeq	GCF_052598275.1-RS_2025_09_14	2025-09-14	3548	3446	54	na
GCF_055398215.1	PRJNA224116	SAMD01611092	na	na	62609	62609	Thermocladium modestius	strain=JCM 10088	na	latest	Complete Genome	Major	Full	2026-02-26	ASM5539821v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055398215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/398/215/GCF_055398215.1_ASM5539821v1	na	assembly from type material	na	haploid	archaea	1903084	1903084	52.5	1	1	1	NCBI RefSeq	GCF_055398215.1-RS_2026_02_24	2026-02-24	1970	1903	47	na
GCF_000006805.1	PRJNA224116	SAMN02604216	na	na	64091	2242	Halobacterium salinarum NRC-1	strain=NRC-1; ATCC 700922	na	latest	Complete Genome	Major	Full	2001-09-27	ASM680v1	University of Maryland	GCA_000006805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1	na	na	na	haploid	archaea	2571010	2571010	66	3	3	3	NCBI RefSeq	GCF_000006805.1-RS_2025_04_07	2025-04-07	2759	2647	52	1398080;1864501;2050644;2552415;3448465;8002589;8335077;8335618;8423144;9847077;11016950
GCF_000009965.1	PRJNA224116	SAMD00061071	na	reference genome	69014	311400	Thermococcus kodakarensis KOD1	strain=KOD1	na	latest	Complete Genome	Major	Full	2005-01-13	ASM996v1	Kyoto University, Japan	GCA_000009965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/965/GCF_000009965.1_ASM996v1	na	assembly from type material	na	haploid	archaea	2088737	2088737	52	1	1	1	NCBI RefSeq	GCF_000009965.1-RS_2024_10_21	2024-10-21	2359	2290	53	15710748
GCF_043950165.1	PRJNA224116	SAMN43289003	na	na	69527	69527	Natrinema pallidum	strain=NMX15-1	na	latest	Complete Genome	Major	Full	2024-10-28	NEB_NpaNMX15-1_pb4_811	University of Maryland	GCA_043950165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/950/165/GCF_043950165.1_NEB_NpaNMX15-1_pb4_811	na	na	na	haploid	archaea	3834508	3834508	64.5	4	4	4	NCBI RefSeq	GCF_043950165.1-RS_2024_10_28	2024-10-28	3920	3784	63	na
GCF_009729055.1	PRJNA224116	SAMN09933092	na	reference genome	69656	69656	Sulfurisphaera ohwakuensis	strain=TA-1	na	latest	Complete Genome	Major	Full	2019-12-04	ASM972905v1	North Carolina State University	GCA_009729055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/055/GCF_009729055.1_ASM972905v1	na	assembly from type material	na	haploid	archaea	2803915	2803915	32.5	1	1	1	NCBI RefSeq	GCF_009729055.1-RS_2025_03_29	2025-03-29	3087	2908	51	na
GCF_000011105.1	PRJNA224116	SAMD00061090	na	reference genome	70601	53953	Pyrococcus horikoshii OT3	strain=OT3	na	latest	Complete Genome	Major	Full	2001-07-03	ASM1110v1	NITE	GCA_000011105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/105/GCF_000011105.1_ASM1110v1	na	assembly from type material	na	haploid	archaea	1738505	1738505	42	1	1	1	NCBI RefSeq	GCF_000011105.1-RS_2024_10_21	2024-10-21	1943	1857	70	9679194
GCF_002214385.1	PRJNA224116	SAMN03324159	na	reference genome	71997	71997	Thermococcus gorgonarius	strain=W-12	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221438v1	Ecole Normale Superieure de Lyon	GCA_002214385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/385/GCF_002214385.1_ASM221438v1	na	assembly from type material	na	haploid	archaea	1674122	1674122	51.5	1	1	1	NCBI RefSeq	GCF_002214385.1-RS_2025_11_21	2025-11-21	1905	1838	52	na
GCF_002214485.1	PRJNA224116	SAMN03324161	na	reference genome	71998	71998	Thermococcus pacificus	strain=P-4	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221448v1	Ecole Normale Superieure de Lyon	GCA_002214485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/485/GCF_002214485.1_ASM221448v1	na	assembly from type material	na	haploid	archaea	1785673	1785673	54	1	1	1	NCBI RefSeq	GCF_002214485.1-RS_2025_11_20	2025-11-20	2005	1932	52	na
GCF_002214505.1	PRJNA224116	SAMN03324165	na	reference genome	72803	72803	Thermococcus siculi	strain=RG-20	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221450v1	Ecole Normale Superieure de Lyon	GCA_002214505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/505/GCF_002214505.1_ASM221450v1	na	assembly from type material	na	haploid	archaea	2029167	2029167	55	1	1	1	NCBI RefSeq	GCF_002214505.1-RS_2025_11_20	2025-11-20	2194	2130	51	na
GCF_002078355.1	PRJNA224116	SAMN03952737	na	reference genome	74969	74969	Ferroplasma acidiphilum	strain=Y	na	latest	Complete Genome	Major	Full	2017-04-04	ASM207835v1	Max Planck Institute for Chemical Ecology	GCA_002078355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/355/GCF_002078355.1_ASM207835v1	na	assembly from type material	na	haploid	archaea	1826943	1826943	36.5	1	1	1	NCBI RefSeq	GCF_002078355.1-RS_2025_11_20	2025-11-20	1856	1792	50	na
